request_id,request_timestamp,sp_provider,destination_url,consumer_service_url,response_id,response_timestamp,in_response_to,status_code,user_id,name_id,transaction_duration,log_source,anomaly_label,anomaly_score,is_anomaly
SP-1ed80dfdedc3bd898c60a9460999240b,2025-08-21 00:01:13.101000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,,,,,,,,idp_log__ssoserver.log,1,-0.13843855180964437,False
SP-60cb5c6896a1447a6426ef1d2c292a5b,2025-08-21 00:01:34.846000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,,,,,,,,idp_log__ssoserver.log,1,-0.15870776613261095,False
SP-50b60ece6f5074e15343af77b3aa2133,2025-08-21 00:18:17.006000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,,,,,,,,idp_log__ssoserver.log,1,-0.14255329620403068,False
SP-893f8dd2ccedcf213737f322915ae47c,2025-08-21 05:15:23.559000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,,,,,,,,idp__ssoserver.log,1,-0.16041437704810912,False
SP-5040f09b9329247726752be676097de8,2025-08-21 05:19:32.882000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,,,,,,,,idp__ssoserver.log,1,-0.160375867348865,False
SP-f394257672cf7065cbf7b24ec93317f1,2025-08-21 05:23:51.218000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,IDP-2b392942d1f22c1e23bd907eb8fa8e26,2025-08-21 05:24:37.048000+00:00,SP-f394257672cf7065cbf7b24ec93317f1,urn:oasis:names:tc:SAML:2.0:status:Success,,,45.83,idp__ssoserver.log,1,-0.16019517425329288,False
SP-0e1731686656235ffcaf004f4f8e8447,2025-08-21 05:24:54.404000+00:00,TEST_SP2,http://idp.dev.com:40001/sso/Request.jsp,,IDP-a5f81b034f31cde385fdd91cec985bec,2025-08-21 05:24:58.909000+00:00,SP-0e1731686656235ffcaf004f4f8e8447,urn:oasis:names:tc:SAML:2.0:status:Success,,,4.505,idp__ssoserver.log,1,-0.16024550160042017,False
SP-9da58e35804d3ff6f9cbc8237e2edae5,2025-08-21 05:25:19.254000+00:00,TEST_SP2,http://idp.dev.com:40001/sso/Request.jsp,,IDP-2cefa4814e178879b8ce934ec2def536,2025-08-21 05:25:19.777000+00:00,SP-9da58e35804d3ff6f9cbc8237e2edae5,urn:oasis:names:tc:SAML:2.0:status:Success,,,0.523,idp__ssoserver.log,1,-0.13763389908846302,False
SP-0ab985aaeeff96aac8b284bd5abfc189,2025-08-21 05:30:17.377000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,IDP-91f9603b212c87e1d3275bbb288005cb,2025-08-21 05:30:18.523000+00:00,SP-0ab985aaeeff96aac8b284bd5abfc189,urn:oasis:names:tc:SAML:2.0:status:Success,,,1.146,idp__ssoserver.log,1,-0.1496220864133161,False
SP-bfeeb16c6db79e9daa66d7a4587ea970,2025-08-21 05:30:28.883000+00:00,TEST_SP2,http://idp.dev.com:40001/sso/Request.jsp,,IDP-5b4b6570d3c091889173be4108d42a36,2025-08-21 05:30:29.533000+00:00,SP-bfeeb16c6db79e9daa66d7a4587ea970,urn:oasis:names:tc:SAML:2.0:status:Success,,,0.65,idp__ssoserver.log,1,-0.12218887870067541,False
SP-e4a0a4e628cb96d675f9029ecb8cd8be,2025-08-21 05:30:51.792000+00:00,TEST_SP2,http://idp.dev.com:40001/sso/Request.jsp,,IDP-7a972485cd9e4eb779483bf229f5aaeb,2025-08-21 05:30:52.321000+00:00,SP-e4a0a4e628cb96d675f9029ecb8cd8be,urn:oasis:names:tc:SAML:2.0:status:Success,,,0.529,idp__ssoserver.log,1,-0.1262225640554454,False
SP-1e41378d03a4535e3ccb7246e921a5c5,2025-08-21 05:30:57.894000+00:00,TEST_SP1,http://idp.dev.com:40001/sso/Request.jsp,http://sp1.dev.com:40004/sso/Response.jsp,IDP-5b389c2fb13046d0b443b772d9dd51e5,2025-08-21 05:30:58.265000+00:00,SP-1e41378d03a4535e3ccb7246e921a5c5,urn:oasis:names:tc:SAML:2.0:status:Success,,,0.371,idp__ssoserver.log,1,-0.0002607361807170916,False
