feature,importance,mean_diff,std_ratio,cohens_d
sp_nan,562893132.2969677,1.2911799231206054,316273197.7771495,1.3784048604938
request_id_length,562893130.7196741,1.291179923120605,316273196.8909145,1.3784048604937995
time_since_last,11.60007512423241,1.1487865429561082,8.38636794993465,1.2040583926606558
is_success,2.4898496477743315,1.480494454344909,1.0335458532219406,1.6271837135707996
response_id_length,2.4898496477743297,1.4804944543449086,1.0335458532219404,1.6271837135707994
duration_z_score,1.7798032376153063,1.1353138779923428,1.3195471426311607,1.188040197169145
transaction_duration_filled,1.7539609878930056,1.1298307646840342,1.3138840144659352,1.181542926337223
is_complete,1.7246677094457972,1.12356500718143,1.3073435852927109,1.1741335208307953
sp_TEST_SP2,1.1895693700832586,0.7672253550691727,0.0,0.7752411740719958
hourly_transaction_count,1.1020568443682945,0.9761974096711897,1.1241890760329303,1.0042156478392448
hour,0.9201516513861001,0.9029847630794289,1.1045319187126226,0.9225729506153811
is_business_hours,0.6997454242175959,0.5917917443622737,0.0,0.5912091803271565
minute,0.19737366940468334,0.393048041308258,1.2906251694036441,0.3890840685291027
sp_TEST_SP1,0.18812837709276775,0.4052354452308049,0.8432332404248356,0.401329499336287
day_of_week,0.0006037317123081539,0.015909459942465388,2.4267032679149216,0.01563766395916829
is_weekend,0.0,0.0,0.0,0.0
sp_provider,0.0,0.0,0.0,0.0
