feature,contribution,extreme_anomaly_rate,overall_anomaly_rate
minute,0.38591916558018247,0.5384615384615384,0.15254237288135594
hour,0.09745762711864406,0.25,0.15254237288135594
hourly_transaction_count,0.041902071563088505,0.19444444444444445,0.15254237288135594
duration_z_score,0.023928215353938187,0.17647058823529413,0.15254237288135594
transaction_duration_filled,0.023928215353938187,0.17647058823529413,0.15254237288135594
time_since_last,0.014124293785310715,0.16666666666666666,0.15254237288135594
sp_TEST_SP2,0.0,0.15254237288135594,0.15254237288135594
sp_TEST_SP1,0.0,0.15254237288135594,0.15254237288135594
sp_provider,0.0,0.15254237288135594,0.15254237288135594
request_id_length,0.0,0.15254237288135594,0.15254237288135594
response_id_length,0.0,0.15254237288135594,0.15254237288135594
is_success,0.0,0.15254237288135594,0.15254237288135594
is_complete,0.0,0.15254237288135594,0.15254237288135594
is_business_hours,0.0,0.15254237288135594,0.15254237288135594
is_weekend,0.0,0.15254237288135594,0.15254237288135594
day_of_week,0.0,0.15254237288135594,0.15254237288135594
sp_nan,0.0,0.15254237288135594,0.15254237288135594
