feature,importance_mean,importance_std
transaction_duration_filled,0.0016410474494097604,0.00021184623126609906
sp_TEST_SP2,0.0015848183073969846,0.0002064869217811573
sp_TEST_SP1,0.0014244424873291806,0.0002424282628082467
duration_z_score,0.0013738321879413595,0.00017874939189919842
is_complete,0.0009370956311129053,0.00028798839151753436
hourly_transaction_count,0.0007068604627290309,0.00019390699305583647
day_of_week,0.0005189661181046912,0.00014736638568406326
minute,0.0003891869075702825,0.00010649941976281638
is_success,0.00024230273208381004,6.824009363857199e-05
hour,0.00020632815804841887,0.0003340500409101939
response_id_length,8.478085139327352e-05,5.1794426059668814e-05
time_since_last,1.2851844332573136e-05,0.00015670138483800088
is_weekend,0.0,0.0
sp_provider,0.0,0.0
request_id_length,-0.0001365085206014971,3.095008593380748e-05
sp_nan,-0.00016971495301156824,7.136977526807432e-05
is_business_hours,-0.00021071497339626434,6.617018636697255e-05
