sp_id,sequence_status,idp_ts,idp_issue_instant,idp_provider,idp_acs,idp_error,idp_file,idp_line,sp_ts,sp_issue_instant,sp_provider,sp_acs,sp_status,assertion_verify,sp_agent,sp_file,sp_line
SP-893f8dd2ccedcf213737f322915ae47c,IDP ERROR: License Error (unmatched),2025-08-21T05:15:23,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,License Error,idp__ssoserver.log,17.0,,,,,,,,,
SP-5040f09b9329247726752be676097de8,IDP ERROR: License Error (unmatched),2025-08-21T05:19:32,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,License Error,idp__ssoserver.log,97.0,,,,,,,,,
SP-225d5f55759f4966714d6e450df30f3c,IdP-only (no SP Response),2025-08-20T08:20:43,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,50.0,,,,,,,,,
SP-1d58563fa48a4937684b41f4e75b4d5f,IdP-only (no SP Response),2025-08-20T08:21:20,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,201.0,,,,,,,,,
SP-3ae11e0ecae00b64e3774f00cf4e4bd7,IdP-only (no SP Response),2025-08-20T08:22:42,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,279.0,,,,,,,,,
SP-75049b8a2469b6567e868e1afe4bde11,IdP-only (no SP Response),2025-08-20T08:23:17,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,430.0,,,,,,,,,
SP-9d8dada5d75b4fb387df0edca8540394,IdP-only (no SP Response),2025-08-20T08:23:46,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,491.0,,,,,,,,,
SP-f2e42ba5b3a1ca6509f8fd50d9571a93,IdP-only (no SP Response),2025-08-20T08:23:48,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,552.0,,,,,,,,,
SP-8c30a0d40ba12afad29f2467e4f33017,IdP-only (no SP Response),2025-08-20T08:25:02,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,613.0,,,,,,,,,
SP-19f27abe88f7f7a83cc3f1ef8a400929,IdP-only (no SP Response),2025-08-20T08:30:05,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,712.0,,,,,,,,,
SP-6f8f9bb436603d6bb17ca49f2bb41581,IdP-only (no SP Response),2025-08-20T08:30:37,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,863.0,,,,,,,,,
SP-f33619d456372fe3476429e871facf96,IdP-only (no SP Response),2025-08-20T08:34:42,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,941.0,,,,,,,,,
SP-c7cf457ec607483af4bdd558c5e553b5,IdP-only (no SP Response),2025-08-20T08:35:00,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,1092.0,,,,,,,,,
SP-ef01c8fa4e23fcc9588f0d8379c98ac9,IdP-only (no SP Response),2025-08-20T08:49:34,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,1190.0,,,,,,,,,
SP-ad798f1c86898f63066e382c59191c6f,IdP-only (no SP Response),2025-08-20T08:49:57,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,1341.0,,,,,,,,,
SP-58b47af8095b0539340dd98c439da3ed,IdP-only (no SP Response),2025-08-20T09:08:12,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,1429.0,,,,,,,,,
SP-38390a4474503819579f7e4152017cec,IdP-only (no SP Response),2025-08-20T09:08:55,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,1580.0,,,,,,,,,
SP-bfa8458fac00d6111ad6e46c6a66ff6b,IdP-only (no SP Response),2025-08-20T09:09:56,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,1746.0,,,,,,,,,
SP-9a11021a88b0a801efd687a8c88a2ffc,IdP-only (no SP Response),2025-08-20T09:10:26,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,1897.0,,,,,,,,,
SP-7586c6e6cc0f071161d863bec8097409,IdP-only (no SP Response),2025-08-20T09:21:58,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,2071.0,,,,,,,SP,sp_log__ssoagent_20250820.log,171.0
SP-9f1909a89d753ba7c31e991d2e5d0d1b,IdP-only (no SP Response),2025-08-20T09:22:26,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,2222.0,,,,,,,,,
SP-6e911b6bb662910b302a9daa308ab9ec,IdP-only (no SP Response),2025-08-20T09:27:36,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,2313.0,,,,,,,SP,sp_log__ssoagent_20250820.log,258.0
SP-fdf90e00f6b21acf2a9abd1b0af5b420,IdP-only (no SP Response),2025-08-20T09:27:45,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,2464.0,,,,,,,,,
SP-aca693c9b53459e2859ae0fe2f56fe37,IdP-only (no SP Response),2025-08-20T09:39:38,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,2544.0,,,,,,,SP,sp_log__ssoagent_20250820.log,345.0
SP-606106848b237ab0193748219508b1bd,IdP-only (no SP Response),2025-08-20T09:39:50,,TEST_SP2,http://sp2.dev.com:40007/saml/response,,idp_log__ssoserver_20250820.log,2695.0,,,,,,,,,
SP-49a934b4c592822a5e42ff59608563d0,IdP-only (no SP Response),2025-08-20T10:00:29,,TEST_SP1,http://sp1.dev.com:40004/sso/Response.jsp,,idp_log__ssoserver_20250820.log,2895.0,,,,,,,SP,sp_log__ssoagent_20250820.log,462.0
